drug/eng,drug/kaz,drug/ru,food/eng,food/kaz,food/ru,general/description/med_description_ru/body,general/description/med_description_ru/ref,general/description/consumer_description_ru,general/_value,general/_degree,_id,_type
diclofenac,диклофенак,диклофенак,alcohol,алкоголь,алкоголь,"Одновременное применение аспирина или нестероидных противовоспалительных препаратов (НПВП) и этанола может привести к желудочно-кишечной кровопотере. Механизм может быть обусловлен комбинированным местным эффектом, а также ингибированием простагландинов, приводящим к снижению целостности слизистой оболочки желудочно-кишечного тракта.
                    Пациентов следует проинформировать об этом потенциальном взаимодействии и рекомендовать воздерживаться от употребления алкоголя во время приема аспирина или НПВП.",1. Инструкция по медицинскому применению (Диклофенак),"Проконсультируйтесь со своим врачом, прежде чем принимать диклофенак вместе с этанолом. Не употребляйте алкоголь во время приема диклофенака. Алкоголь может увеличить риск желудочного кровотечения, вызванного диклофенаком. Если у вас появились симптомы кровотечения в желудке или кишечнике, немедленно обратитесь к врачу.",yes,moderate,0026,drug-food
doxycycline,доксициклин,доксициклин,alcohol,алкоголь,алкоголь,Хроническое употребление алкоголя может усилить выведение доксициклина. Механизм заключается в индукции алкоголем микросомальных ферментов печени.,"1. Roos M, Neuvonen PJ, Penttila O, Tirkkonen J ""Effect of long-term alcohol consumption on the half-life of tetracycline and doxycycline in man."" Int J Clin Pharmacol Biopharm 14 (1976): 303-7",Хроническое употребление алкоголя может усилить выведение доксициклина. Механизм заключается в индукции алкоголем микросомальных ферментов печени.,yes,minor,0027,drug-food
doxycycline,доксициклин,доксициклин,multivitamins with minerals,мультивитаминдер мен минералдар,поливитамины и минералы,"Биодоступность пероральных тетрациклинов и солей железа может быть значительно снижена при одновременном применении. Это может привести к терапевтической неудаче. Предлагаемый механизм заключается в хелатировании тетрациклинов катионом железа, образующим нерастворимый комплекс, который плохо всасывается из желудочно-кишечного тракта.","1. Roos M, Neuvonen PJ, Penttila O, Tirkkonen J ""Effect of long-term alcohol consumption on the half-life of tetracycline and doxycycline in man."" Int J Clin Pharmacol Biopharm 14 (1976): 303-7","Железо может связываться с доксициклином в желудочно-кишечном тракте, что может препятствовать их всасыванию в кровоток и, возможно, снижать их эффективность. Чтобы избежать или свести к минимуму взаимодействие, железосодержащие препараты и доксициклин в большинстве случаев предпочтительно принимать с интервалом не менее трех-четырех часов. Поговорите со своим врачом, если у вас есть какие-либо вопросы или опасения, или если у вас возникли проблемы с разделением времени приема препарата. Ваш врач может назначить альтернативные препараты, которые не взаимодействуют друг с другом.",yes,moderate,0028,drug-food
ferrous sulfate,железа сульфат,темір сульфаты,food,ас,пища,"Одновременное применение некоторых пероральных препаратов может снизить биодоступность железа, вводимого перорально, и наоборот. Пища, принимаемая в сочетании с пероральными добавками железа, может снизить биодоступность железа. Однако у многих пациентов возникают невыносимые желудочно-кишечные побочные эффекты, требующие приема препарата с пищей.
                    В идеале препараты железа следует принимать натощак (т.е., по крайней мере, за 1 час до или через 2 часа после еды), но если это невозможно, принимать во время еды и более внимательно наблюдать за пациентом для получения субтерапевтического эффекта. Некоторые исследования предполагают, что прием железа с аскорбиновой кислотой может повысить биодоступность. Кроме того, прием пероральных препаратов железа и некоторых пероральных лекарственных средств следует разделять всякий раз, когда биодоступность любого из них может быть снижена.","1. Product Information. Feosol Tablets (ferrous sulfate)."" SmithKline Beecham, Philadelphia, PA.
                    2. Product Information. Accrufer (ferric maltol)."" Shield Therapeutics (2021):","Пища может снижать всасывание и уровень сульфата железа в крови. Кроме того, некоторые пероральные препараты также могут препятствовать всасыванию сульфата железа в кровоток, что может сделать лекарство менее эффективным. Аналогичным образом, сульфат железа может препятствовать всасыванию других лекарств. Рекомендуется принимать сульфат железа натощак, по крайней мере, за час до или через два часа после еды. Ваш врач может назначить альтернативные препараты, которые не взаимодействуют.",yes,moderate,0029,drug-food
zidovudine,зидовудин,зидовудин,meal,ас,пища,"Пища может оказывать различное влияние на пероральную биодоступность зидовудина. Сообщалось, что жирная пища снижает скорость и степень всасывания зидовудина после перорального приема.","1. Lotterer E, Ruhnke M, Trautman M, et al. ""Decreased and variable systemic availability of zidovudine in patients with AIDS if administered with a meal."" Eur J Clin Pharmacol 40 (1991): 305-8
                 2. Crosby SS, Collier AC, Unadkat JD, et al. ""Pharmacokinetics of oral zidovudine (azidothymidine) in patients with AIDS when administered with and without a high-fat meal."" AIDS 4 (1990): 229-32
                 3. ""Product Information. Retrovir (zidovudine)."" Glaxo Wellcome (2001):
				         4. Sahai J, Gallicano K, Garber G, et al. ""The effect of a protein meal on zidovudine pharmacokinetics in HIV-infected patients."" Br J Clin Pharmacol 33 (1992): 657-60","Пища может оказывать различное влияние на пероральную биодоступность зидовудина. Сообщалось, что жирная пища снижает скорость и степень всасывания зидовудина после перорального приема. Белковая пища также может задерживать всасывание и снижать Cmax зидовудина, хотя на степень всасывания это существенно не влияет. Клиническая значимость этих изменений, если таковые имеются, неизвестна. На этикетке продукта указано, что зидовудин можно принимать независимо от приема пищи.",yes,minor,0030,drug-food
ibuprofen,ибупрофен,ибупрофен,alcohol,алкоголь,алкоголь,"Одновременное применение аспирина или нестероидных противовоспалительных препаратов (НПВП) и этанола может привести к желудочно-кишечной кровопотере. Механизм может быть обусловлен комбинированным местным эффектом, а также ингибированием простагландинов, приводящим к снижению целостности слизистой оболочки желудочно-кишечного тракта.
                  Пациентов следует проинформировать об этом потенциальном взаимодействии и рекомендовать воздерживаться от употребления алкоголя во время приема аспирина или НПВП.","1. ""Product Information. Motrin (ibuprofen)."" Pharmacia and Upjohn (2002)","Не употребляйте алкоголь во время приема ибупрофена. Алкоголь может увеличить риск желудочного кровотечения, вызванного ибупрофеном. Если у вас появились симптомы кровотечения в желудке или кишечнике, немедленно обратитесь к врачу. Это включает в себя черный, кровавый или смолистый стул, а также кашель с кровью или рвотой.",yes,minor,0031,drug-food
ibuprofen,ибупрофен,ибупрофен,alcohol,алкоголь,алкоголь,"Одновременное применение аспирина или нестероидных противовоспалительных препаратов (НПВП) и этанола может привести к желудочно-кишечной кровопотере. Механизм может быть обусловлен комбинированным местным эффектом, а также ингибированием простагландинов, приводящим к снижению целостности слизистой оболочки желудочно-кишечного тракта.
                  Пациентов следует проинформировать об этом потенциальном взаимодействии и рекомендовать воздерживаться от употребления алкоголя во время приема аспирина или НПВП.","1. ""Product Information. Motrin (ibuprofen)."" Pharmacia and Upjohn (2002)","Не употребляйте алкоголь во время приема ибупрофена. Алкоголь может увеличить риск желудочного кровотечения, вызванного ибупрофеном. Если у вас появились симптомы кровотечения в желудке или кишечнике, немедленно обратитесь к врачу. Это включает в себя черный, кровавый или смолистый стул, а также кашель с кровью или рвотой.",yes,minor,0032,drug-food
isotretinoin,изотретиноин,изотретиноин,alcohol,алкоголь,алкоголь,Совместное применение этанола и изотретиноина может привести к дисульфирамоподобной реакции. Во время терапии изотретиноином следует избегать употребления алкоголя.,"1. ""Product Information. Accutane (isotretinoin)."" Roche Laboratories (2001):","Проконсультируйтесь со своим врачом, прежде чем использовать ИЗОтретиноин вместе с этанолом. Не употребляйте алкоголь во время приема изотретиноина. У вас могут возникнуть неприятные побочные эффекты, такие как учащенное сердцебиение, жар или покраснение под кожей, ощущение покалывания, тошнота и рвота. Проверьте этикетки на продуктах питания и лекарствах, чтобы убедиться, что эти продукты не содержат алкоголя.",yes,minor,0033,drug-food
cabergoline,каберголин,каберголин,alcohol,алкоголь,алкоголь,"Алкоголь может усиливать некоторые фармакологические эффекты агентов, действующих на ЦНС. Применение в комбинации может привести к дополнительному угнетению центральной нервной системы и/или ухудшению суждений, мышления и психомоторных навыков.
                    Пациенты, получающие препараты, действующие на ЦНС, должны быть предупреждены об этом взаимодействии и рекомендованы избегать или ограничивать потребление алкоголя. Амбулаторным пациентам следует рекомендовать избегать опасных видов деятельности, требующих полной умственной бдительности и координации движений, пока они не узнают, как эти агенты влияют на них, и уведомлять своего врача, если они испытывают чрезмерное или длительное воздействие на ЦНС, которое мешает их нормальной деятельности.","1. Ankier SI, Turner P, Warrington SJ ""Evaluation of possible interactions between ethanol and trazodone or amitriptyline."" Neuropsychobiology 15 (1986): 31-7
                    2. Gilman AG, eds., Nies AS, Rall TW, Taylor P ""Goodman and Gilman's the Pharmacological Basis of Therapeutics."" New York, NY: Pergamon Press Inc. (1990):
                    3. ""Product Information. Fycompa (perampanel)."" Eisai Inc (2012):
                    4. ""Product Information. Rexulti (brexpiprazole)."" Otsuka American Pharmaceuticals Inc (2015):","Алкоголь может усилить побочные эффекты каберголина на нервную систему, такие как головокружение, сонливость и трудности с концентрацией внимания. Некоторые люди также могут испытывать нарушения в мышлении и суждениях. Вам следует избегать или ограничить употребление алкоголя во время лечения каберголином. Не принимайте каберголин в дозе, превышающей рекомендуемую, и избегайте занятий, требующих умственной активности, таких как вождение автомобиля или работа с опасными механизмами, пока не узнаете, как препарат влияет на вас. Поговорите со своим врачом или фармацевтом, если у вас есть какие-либо вопросы или опасения.",yes,moderate,0034,drug-food
calcium gluconate,кальций глюконаты,кальция глюконат,oxalic acid,қымыздық қышқылы,щавелевая кислота,"Прием препарата с пищей может увеличить всасывание кальция. Однако продукты с высоким содержанием щавелевой кислоты (шпинат или ревень) могут снизить усвояемость кальция.
                    Рекомендуется воздержаться от приема кальция по крайней мере в течение 2 часов до или после употребления продуктов с высоким содержанием щавелевой.","1. Cerner Multum, Inc. ""UK Summary of Product Characteristics.""
                    2. Cerner Multum, Inc. ""Australian Product Information.""
                    3. Agencia Española de Medicamentos y Productos Sanitarios Healthcare ""Centro de información online de medicamentos de la AEMPS - CIMA. https://cima.aemps.es/cima/publico/home.html."" (2008):
                    4. Mangels AR ""Bone nutrients for vegetarians."" Am J Clin Nutr 100 (2014)
                    5. Davies NT ""Anti-nutrient factors affecting mineral utilization."" Proc Nutr Soc 38 (1979): 121-8",Всасывание кальция может быть увеличено при приеме его с пищей. Однако продукты с высоким содержанием щавелевой кислоты (шпинат или ревень) или фитиновой кислоты (отруби и цельные зерна) могут снизить усвояемость кальция. Рассмотрите возможность интервального приема кальция не менее чем за 2 часа до или после употребления продуктов с высоким содержанием щавелевой или фитиновой кислоты.,yes,moderate,0035,drug-food
calcium gluconate,кальций глюконаты,кальция глюконат,phytic acid,фитин қышқылы,фитиновая кислота,"Прием препарата с пищей может увеличить всасывание кальция. Однако продукты с высоким содержанием фитиновой кислоты (отруби и цельные зерна) могут снизить усвояемость кальция.
                    Рекомендуется воздержаться от приема кальция по крайней мере в течение 2 часов до или после употребления продуктов с высоким содержанием фитиновой кислоты.","1. Cerner Multum, Inc. ""UK Summary of Product Characteristics.""
                    2. Cerner Multum, Inc. ""Australian Product Information.""
                    3. Agencia Española de Medicamentos y Productos Sanitarios Healthcare ""Centro de información online de medicamentos de la AEMPS - CIMA. https://cima.aemps.es/cima/publico/home.html."" (2008):
                    4. Mangels AR ""Bone nutrients for vegetarians."" Am J Clin Nutr 100 (2014)
                    5. Davies NT ""Anti-nutrient factors affecting mineral utilization."" Proc Nutr Soc 38 (1979): 121-8",Всасывание кальция может быть увеличено при приеме его с пищей. Однако продукты с высоким содержанием щавелевой кислоты (шпинат или ревень) или фитиновой кислоты (отруби и цельные зерна) могут снизить усвояемость кальция. Рассмотрите возможность интервального приема кальция не менее чем за 2 часа до или после употребления продуктов с высоким содержанием щавелевой или фитиновой кислоты.,yes,moderate,0036,drug-food
candesartan,кандесартан,кандесартан,potassium,калий,калий,"Умеренное или высокое потребление калия с пищей, особенно заменителей соли, может увеличить риск гиперкалиемии у некоторых пациентов, принимающих блокаторы рецепторов ангиотензина II (БРА). БРА могут способствовать гиперкалиемии за счет ингибирования секреции альдостерона, индуцированной ангиотензином II. Пациенты с диабетом, сердечной недостаточностью, обезвоживанием или почечной недостаточностью имеют более высокий риск развития гиперкалиемии.
                    Пациентам следует проконсультироваться по диете и не принимать калийсодержащие заменители соли или отпускаемые без рецепта добавки калия без консультации с врачом. При одновременном применении заменителей соли рекомендуется регулярный контроль уровня калия в сыворотке крови. Пациентам также следует рекомендовать обратиться за медицинской помощью, если они испытывают такие симптомы гиперкалиемии, как слабость, нерегулярное сердцебиение, спутанность сознания, покалывание в конечностях или ощущение тяжести в ногах.","1. ""Product Information. Cozaar (losartan)."" Merck Company Inc (2001):
                    2. ""Product Information. Diovan (valsartan)."" Novartis Pharmaceuticals (2001):","Если вы принимаете кандесартан, вам следует избегать калийсодержащих заменителей соли или безрецептурных добавок калия без предварительной консультации с врачом. Это может вызвать высокий уровень калия в крови. Высокий уровень калия может вызвать слабость, нерегулярное сердцебиение, спутанность сознания, покалывание в конечностях или ощущение тяжести в ногах. Немедленно позвоните своему врачу, если у вас есть какие-либо из этих симптомов.",yes,moderate,0037,drug-food
carbamazepine,карбамазепин,карбамазепин,grapefruit juice,грейпфрут шырыны,грейпфрутовый сок,"В небольшом рандомизированном перекрестном исследовании введение карбамазепина с грейпфрутовым соком (по сравнению с водой) повышало концентрацию препарата в плазме примерно на 40%. Предполагаемый механизм заключается в ингибировании опосредованного
                    CYP450 3A4 метаболизма первого прохождения в стенке кишечника некоторыми соединениями, присутствующими в грейпфрутах. Учитывая узкий терапевтический индекс препарата, пациентам, получающим терапию карбамазепином, желательно избегать регулярного употребления
                    грейпфрутов и грейпфрутового сока, чтобы предотвратить нежелательные колебания уровня препарата в плазме. Пациентам следует рекомендовать сообщать своим врачам о признаках токсичности карбамазепина (тошнота, нарушения зрения, головокружение или атаксия).","1. ""Product Information. Tegretol (carbamazepine)."" Novartis Pharmaceuticals (2002):
                    2. Bhargava VK, Garg SK, Kumar N, Prabhakar SK ""Effect of grapefruit juice on carbamazepine bioavailability in patients with epilepsy."" Clin Pharmacol Ther 64 (1998): 286-8
                    3. Bailey DG, Bend JR, Freeman DJ, Dresser GR, Kreeft JH, Munoz C ""Grapefruit-felodipine interaction: Effect of unprocessed fruit and probable active ingredients."" Clin Pharmacol Ther 68 (2000): 468-77","Желательно избегать регулярного употребления грейпфрутов и грейпфрутового сока при приеме карбамазепина. Это может вызвать повышение уровня карбамазепина. Вы должны сообщить своему врачу о признаках побочных эффектов карбамазепина, таких как тошнота,
				нарушения зрения, головокружение или мышечная слабость. Поговорите со своим врачом или фармацевтом, если у вас есть какие-либо вопросы или опасения.",yes,moderate,0038,drug-food
carbamazepine,карбамазепин,карбамазепин,alcohol,алкоголь,алкоголь,"Алкоголь может усиливать некоторые фармакологические эффекты карбамазепина. Использование в комбинации может привести к дополнительному угнетению центральной нервной системы и/или нарушению суждений, мышления и психомоторных навыков.
					Пациентам, получающим карбамазепин, следует рекомендовать избегать или ограничивать потребление алкоголя. Пациентам следует рекомендовать сообщать своим врачам о признаках токсичности карбамазепина (тошнота, нарушения зрения, головокружение или атаксия).","1. ""Product Information. Nizoral (ketoconazole)."" Janssen Pharmaceuticals (2002):
					2. ""Product Information. Ketoconazole (ketoconazole)."" Mylan Pharmaceuticals Inc (2019):
					3. ""Product Information. Recorlev (levoketoconazole)."" Xeris Pharmaceuticals Inc (2022):","Кетоконазол может вызвать проблемы с печенью, и его использование с этанолом или продуктами, содержащими алкоголь, может увеличить этот риск. Немедленно позвоните своему врачу, если у вас отек, кожная сыпь, зуд, потеря аппетита, утомляемость, тошнота, рвота,
				боль в животе, темная моча, светлый стул и/или пожелтение кожи или глаз, так как это могут быть признаки и симптомы поражения печени. Кроме того, употребление этанола или продуктов, содержащих алкоголь, во время лечения кетоконазолом может вызвать у некоторых пациентов
				дисульфирамоподобную реакцию, которая включает такие неприятные эффекты, как гиперемия, сыпь, периферические отеки, тошнота и головная боль. Поговорите со своим врачом или фармацевтом, если у вас есть какие-либо вопросы или опасения. Важно сообщить своему врачу обо всех других лекарствах,
				которые вы принимаете, включая витамины и травы.",yes,moderate,0039,drug-food
ketoconazole,кетоконазол,кетоконазол,alcohol,алкоголь,алкоголь,"Чрезмерное употребление алкоголя или продуктов, содержащих алкоголь, вместе с кетоконазолом или левокетоконазолом может увеличить риск повреждения печени. Сообщалось о серьезной гепатотоксичности левокетоконазола. Сообщалось о фатальной гепатотоксичности или необходимости трансплантации печени при пероральном применении кетоконазола, энантиомером которого является левокетоконазол. У некоторых пациентов не было очевидных факторов риска заболевания печени. Кроме того, чрезмерное употребление алкоголя или продуктов,
                    содержащих спирт, во время терапии кетоконазолом или левокетоконазолом может привести к дисульфирамоподобной реакции у некоторых пациентов. Симптомы дисульфирамоподобной реакции включают гиперемию, сыпь, периферические отеки, тошноту и головную боль. Во время терапии кетоконазолом или левокетоконазолом следует избегать чрезмерного употребления алкоголя. Пациенты, получающие кетоконазол или левокетоконазол, должны быть проинструктированы о необходимости немедленно связаться со своим врачом, если они испытывают отек,
                    кожную сыпь, зуд, потерю аппетита, утомляемость, тошноту, рвоту, боль в животе, темную мочу, светлый стул и/или пожелтение мочевого пузыря. кожи или глаз, так как они могут быть признаками и симптомами повреждения печени.","1. ""Product Information. Tegretol (carbamazepine)."" Novartis Pharmaceuticals (2002):
                    2. Bhargava VK, Garg SK, Kumar N, Prabhakar SK ""Effect of grapefruit juice on carbamazepine bioavailability in patients with epilepsy."" Clin Pharmacol Ther 64 (1998): 286-8
                    3. Bailey DG, Bend JR, Freeman DJ, Dresser GR, Kreeft JH, Munoz C ""Grapefruit-felodipine interaction: Effect of unprocessed fruit and probable active ingredients."" Clin Pharmacol Ther 68 (2000): 468-77","Вам следует избегать или ограничивать употребление алкоголя во время лечения карбамазепином. Алкоголь может усиливать побочные эффекты карбамазепина со стороны нервной системы, такие как головокружение,сонливость и трудности с концентрацией внимания. У некоторых людей также могут наблюдаться нарушения мышления и суждений. Поговорите со своим врачом или фармацевтом, если у вас есть какие-либо вопросы или опасения.",yes,moderate,0040,drug-food
ketoprofen,кетопрофен,кетопрофен,alcohol,алкоголь,алкоголь,"Одновременный прием аспирина или нестероидных противовоспалительных препаратов (НПВП) и этанола может привести к желудочно-кишечной кровопотере. Механизм может быть связан с комбинированным местным эффектом, а также ингибированием простагландинов, что приводит к снижению целостности слизистой оболочки ЖКТ.
                    Пациенты должны быть проинформированы об этом потенциальном взаимодействии и рекомендованы воздерживаться от употребления алкоголя при приеме аспирина или НПВП.","1. ""Product Information. Motrin (ibuprofen)."" Pharmacia and Upjohn (2002):","Поговорите с вашим врачом перед использованием кетопрофена вместе с этанолом. Не пейте алкоголь при приеме кетопрофена. Алкоголь может увеличить риск желудочного кровотечения, вызванного кетопрофеном. Немедленно позвоните своему врачу, если у вас есть симптомы кровотечения в желудке или кишечнике.
                Это включает черный, кровавый или смолистый стул или кашель с кровью или рвотными массами. Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы. Не прекращайте прием каких-либо лекарств без предварительной консультации с врачом.",yes,moderate,0041,drug-food
levodopa,леводопа,леводопа,alcohol,алкоголь,алкоголь,"Алкоголь может усиливать некоторые фармакологические эффекты леводопы. Применение в комбинации может привести к дополнительному угнетению центральной нервной системы и/или ухудшению суждений, мышления и психомоторных навыков.","Balzar SA, Wohlt PD, Zheng L, Fish JT, Gunderson S, Johnson BD ""Recommendations for the use of medications with continuous enteral nutrition."" Am J Health Syst Pharm 66 (2009): 1438-67","Алкоголь может усилить побочные эффекты леводопы на нервную систему, такие как головокружение, сонливость и трудности с концентрацией внимания. Некоторые люди также могут испытывать нарушения в мышлении и суждениях. Вам следует избегать или ограничивать употребление алкоголя во время лечения леводопой. У вас может наблюдаться снижение эффективности леводопы в присутствии пищевых продуктов или энтерального (зондового) питания с высоким содержанием белка. Это может усугубить симптомы болезни Паркинсона. Поговорите со своим врачом или консультантом по питанию о том, какие продукты лучше употреблять во время приема этого лекарства. Обратитесь к врачу, если ваше состояние изменится.",yes,moderate,0042,drug-food
levothyroxine,левотироксин,левотироксин,meal,ас,пища,"Употребление определенных продуктов, а также время приема пищи по отношению к дозировке могут повлиять на всасывание гормона щитовидной железы Т4 (например, левотироксина). Всасывание T4 увеличивается при голодании и снижается при употреблении таких продуктов, как соевая мука (например, детская смесь), хлопковая мука, грецкие орехи, пищевые волокна, кальций и обогащенные кальцием соки.
					Препараты, содержащие гормон щитовидной железы Т4, следует вводить по последовательному графику в зависимости от времени суток и приема пищи, чтобы избежать значительных колебаний уровней в сыворотке крови. По возможности следует избегать продуктов, которые могут повлиять на всасывание Т4, в течение нескольких часов после приема. При введении пациентам, получающим непрерывное энтеральное
					питание более 7 дней, некоторые эксперты рекомендуют прерывать зондовое питание по крайней мере за 1 час до и 1 час после введения дозы левотироксина, а также контролировать функцию щитовидной железы пациентов.","1. ""Product Information. Synthroid (levothyroxine)."" Abbott Pharmaceutical (2002):
					2. ""Product Information. Armour thyroid (thyroid desiccated)."" Forest Pharmaceuticals, St. Louis, MO.
					3. Balzar SA, Wohlt PD, Zheng L, Fish JT, Gunderson S, Johnson BD ""Recommendations for the use of medications with continuous enteral nutrition."" Am J Health Syst Pharm 66 (2009): 1438-67","Время приема пищи относительно дозы левотироксина может повлиять на всасывание лекарства. Таким образом, левотироксин следует принимать по постоянному графику в зависимости от времени суток и приема пищи, чтобы избежать значительных колебаний уровня в крови, которые могут изменить его действие. Кроме того, всасывание левотироксина может снижаться при употреблении таких продуктов, как соевая мука,
				хлопковая мука, грецкие орехи, пищевые волокна, кальций и соки, обогащенные кальцием. Этих продуктов следует избегать в течение нескольких часов после приема, если это возможно. Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы. Не прекращайте прием каких-либо лекарств без предварительной консультации с врачом. При введении левотироксина во время
				непрерывного энтерального питания (кормление через зонд) более 7 дней, кормление через зонд следует прервать по крайней мере за один час до и один час после введения дозы левотироксина. Вам могут потребоваться более частые анализы крови для контроля уровня левотироксина.",yes,moderate,0043,drug-food
levothyroxine,левотироксин,левотироксин,multivitamins with minerals,дәрумендер мен минералдар,поливитамины с минералами,"Одновременное применение препаратов, содержащих кальций, у некоторых пациентов может снизить пероральную биодоступность левотироксина на одну треть. Фармакологические эффекты левотироксина могут быть снижены. Точный механизм взаимодействия неизвестен, но может включать неспецифическую адсорбцию левотироксина кальцием при кислых значениях pH, что приводит к образованию нерастворимого комплекса, который плохо всасывается из желудочно-кишечного тракта.
					В одном исследовании у 20 пациентов с гипотиреозом, которые принимали левотироксин в стабильном режиме в течение длительного времени, было продемонстрировано умеренное, но достоверное снижение среднего уровня свободного и общего тироксина (Т4), а также соответствующее увеличение среднего уровня тиреотропина (тиреотропного гормона или ТТГ) после добавления карбоната кальция (1200 мг/день элементарного кальция) в течение 3 месяцев. У четырех пациентов уровень ТТГ в сыворотке крови был выше нормы.
					Уровни Т4 и ТТГ вернулись к почти исходному уровню через 2 месяца после прекращения приема кальция, что еще раз подтвердило вероятность взаимодействия. Кроме того, были сообщения о случаях, предполагающих снижение эффективности левотироксина при совместном применении с кальцием. Неизвестно, происходит ли это взаимодействие с другими препаратами гормонов щитовидной железы. Некоторые специалисты рекомендуют разделять время приема левотироксина и кальцийсодержащих препаратов не менее чем на 4 часа.
					Рекомендуется контроль уровня ТТГ в сыворотке. Пациенты с желудочно-кишечными расстройствами или нарушениями всасывания могут подвергаться большему риску развития клинического или субклинического гипотиреоза из-за этого взаимодействия.","1. Schneyer CR ""Calcium carbonate and reduction of levothyroxine efficacy."" JAMA 279 (1998): 750
					2. Singh PN, Hershman JM, Singh N ""Effect of calcium carbonate on the absorption of levothyroxine."" JAMA 283 (2000): 2822-5
					3. Csako G, Rotman-Pikielny P, Sarlis NJ, McGriff NJ, Pucino F ""Exaggerated levothyroxine malabsorption due to calcium carbonate supplementation in gastrointestinal disorders."" Ann Pharmacother 35 (2001): 1578-83
					4. Neafsey PJ ""Levothyroxine and calcium interaction: timing is everything."" Home Healthc Nurse 22 (2004): 338-9","Использование поливитаминов с минералами вместе с левотироксином может уменьшить действие левотироксина. Вы должны разделить прием левотироксина и поливитаминов с минералами не менее чем на 4 часа. Если ваш врач прописывает эти лекарства вместе, вам может потребоваться корректировка дозы или специальный тест для безопасного использования обоих препаратов. Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы.
				Не прекращайте прием каких-либо лекарств без предварительной консультации с врачом.",yes,moderate,0044,drug-food
